idx,score,label,flag,thr_stream,lat_ms
0,0.469355,0,0,0.469355,7.67084
1,0.469355,0,0,0.469355,7.98204
2,0.469355,0,0,0.469355,7.35396
3,0.469355,0,0,0.469355,7.34508
4,0.469355,0,0,0.469355,7.24013
5,0.469355,0,0,0.469355,6.98486
6,0.469355,0,0,0.469355,7.32576
7,0.469355,0,0,0.469355,7.09022
8,0.469355,0,0,0.469355,7.12314
9,0.469355,0,0,0.469355,7.19293
10,0.469355,0,0,0.469355,7.15357
11,0.469355,0,0,0.469355,7.29913
12,0.469355,0,0,0.469355,6.95404
13,0.469355,0,0,0.469355,7.27069
14,0.469355,0,0,0.469355,7.06413
15,0.469355,0,0,0.469355,7.24602
16,0.469355,0,0,0.469355,6.94293
17,0.469355,0,0,0.469355,9.18955
18,0.469355,0,0,0.469355,7.2641
19,0.757993,1,0,0.757993,7.54373
20,0.469355,0,0,0.757993,7.28608
21,0.469355,0,0,0.757993,7.17452
22,0.469355,0,0,0.757993,7.40533
23,0.469355,0,0,0.757993,7.20182
24,0.469355,0,0,0.757993,7.12476
25,0.469355,0,0,0.757993,7.24656
26,0.469355,0,0,0.757993,7.42663
27,0.469355,0,0,0.757993,7.32731
28,0.469355,0,0,0.757993,7.53003
29,0.469355,0,0,0.757993,7.01789
30,0.469355,0,0,0.757993,7.0778
31,0.469355,0,0,0.757993,7.19312
32,0.469355,0,0,0.757993,7.01289
33,0.469355,0,0,0.757993,7.62593
34,0.469355,0,0,0.757993,7.15692
35,0.469355,0,0,0.757993,7.41642
36,0.469355,0,0,0.757993,7.05069
37,0.469355,0,0,0.757993,7.27001
38,0.469355,0,0,0.757993,6.82192
39,0.469355,0,0,0.757993,7.20001
40,0.469355,0,0,0.757993,7.41306
41,0.469355,0,0,0.757993,6.98918
42,0.469355,0,0,0.757993,7.06211
43,0.469355,0,0,0.757993,7.02241
44,0.469355,0,0,0.757993,7.33291
45,0.469355,0,0,0.757993,7.18325
46,0.469355,0,0,0.757993,6.94545
47,0.469355,0,0,0.757993,7.68859
48,0.469355,0,0,0.757993,6.97675
49,0.469355,0,0,0.757993,7.37265
50,0.469355,0,0,0.469355,7.18179
51,0.469355,0,0,0.469355,7.46039
52,0.469355,0,0,0.469355,7.16478
53,0.469355,0,0,0.469355,7.14065
54,0.469355,0,0,0.469355,7.07727
55,0.469355,0,0,0.469355,6.95574
56,0.469355,0,0,0.469355,7.17929
57,0.469355,0,0,0.469355,6.95523
58,0.469355,0,0,0.469355,7.54325
59,0.757993,1,0,0.757993,7.03703
60,0.469355,0,0,0.757993,7.25143
61,0.469355,0,0,0.757993,6.93768
62,0.469355,0,0,0.757993,6.93124
63,0.469355,0,0,0.757993,7.31688
64,0.469355,0,0,0.757993,6.87019
65,0.469355,0,0,0.757993,7.61292
66,0.469355,0,0,0.757993,7.16897
67,0.469355,0,0,0.757993,7.25564
68,0.469355,0,0,0.757993,7.09166
69,0.469355,0,0,0.757993,7.29788
70,0.469355,0,0,0.757993,7.23988
71,0.469355,0,0,0.757993,7.14239
72,0.469355,0,0,0.757993,7.34526
73,0.757993,1,0,0.757993,7.059
74,0.469355,0,0,0.757993,7.14774
75,0.469355,0,0,0.757993,6.95108
76,0.469355,0,0,0.757993,7.57245
77,0.469355,0,0,0.757993,7.10965
78,0.469355,0,0,0.757993,6.89389
79,0.469355,0,0,0.757993,7.41145
80,0.469355,0,0,0.757993,7.12569
81,0.469355,0,0,0.757993,7.88643
82,0.469355,0,0,0.757993,7.01828
83,0.757993,1,0,0.757993,7.25137
84,0.469355,0,0,0.757993,6.98543
85,0.469355,0,0,0.757993,7.47902
86,0.469355,0,0,0.757993,7.32396
87,0.757993,1,0,0.757993,7.07971
88,0.469355,0,0,0.757993,7.04753
89,0.469355,0,0,0.757993,7.02174
90,0.469355,0,0,0.757993,7.21909
91,0.469355,0,0,0.757993,7.08131
92,0.469355,0,0,0.757993,7.43233
93,0.469355,0,0,0.757993,7.01574
94,0.469355,0,0,0.757993,7.05687
95,0.469355,0,0,0.757993,7.26317
96,0.469355,0,0,0.757993,6.90028
97,0.469355,0,0,0.757993,7.88072
98,0.469355,0,0,0.757993,7.16755
99,0.469355,0,0,0.757993,7.33254
100,0.469355,0,0,0.757993,7.04984
101,0.469355,0,0,0.757993,7.15043
102,0.469355,0,0,0.757993,7.3284
103,0.469355,0,0,0.757993,7.02393
104,0.469355,0,0,0.757993,7.3399
105,0.469355,0,0,0.757993,6.98922
106,0.469355,0,0,0.757993,7.71945
107,0.469355,0,0,0.757993,7.16344
108,0.469355,0,0,0.757993,7.12937
109,0.469355,0,0,0.757993,7.49663
110,0.469355,0,0,0.757993,6.94703
111,0.469355,0,0,0.757993,7.31982
112,0.469355,0,0,0.757993,7.02338
113,0.469355,0,0,0.757993,7.68003
114,0.469355,0,0,0.757993,6.98353
115,0.469355,0,0,0.757993,7.22295
116,0.469355,0,0,0.757993,7.22573
117,0.469355,0,0,0.757993,7.02048
118,0.469355,0,0,0.757993,7.22497
119,0.469355,0,0,0.757993,6.96608
120,0.469355,0,0,0.757993,8.48203
121,0.469355,0,0,0.757993,7.14369
122,0.469355,0,0,0.757993,7.07265
123,0.469355,0,0,0.757993,7.10367
124,0.469355,0,0,0.757993,7.19807
125,0.469355,0,0,0.757993,7.20162
126,0.469355,0,0,0.757993,7.29531
127,0.469355,0,0,0.757993,7.33769
128,0.469355,0,0,0.757993,7.31591
129,0.469355,0,0,0.757993,8.48727
130,0.469355,0,0,0.757993,7.27531
131,0.469355,0,0,0.757993,7.3981
132,0.469355,0,0,0.757993,7.19075
133,0.469355,0,0,0.757993,7.02159
134,0.469355,0,0,0.757993,7.11337
135,0.469355,0,0,0.757993,7.13928
136,0.469355,0,0,0.757993,7.30119
137,0.469355,0,0,0.757993,7.04903
138,0.469355,0,0,0.757993,7.24103
139,0.469355,0,0,0.757993,7.19
140,0.469355,0,0,0.757993,6.93872
141,0.469355,0,0,0.757993,7.34003
142,0.469355,0,0,0.757993,7.16584
143,0.469355,0,0,0.757993,7.31057
144,0.469355,0,0,0.757993,7.2161
145,0.469355,0,0,0.757993,7.61103
146,0.469355,0,0,0.757993,7.0298
147,0.469355,0,0,0.757993,7.09259
148,0.469355,0,0,0.757993,7.16073
149,0.757993,1,0,0.757993,7.08779
150,0.469355,0,0,0.757993,7.5299
151,0.469355,0,0,0.757993,7.33049
152,0.469355,0,0,0.757993,7.23791
153,0.469355,0,0,0.757993,7.12813
154,0.469355,0,0,0.757993,7.28087
155,0.469355,0,0,0.757993,7.09726
156,0.469355,0,0,0.757993,7.15168
157,0.469355,0,0,0.757993,7.13592
158,0.469355,0,0,0.757993,7.0689
159,0.469355,0,0,0.757993,7.2301
160,0.469355,0,0,0.757993,7.03966
161,0.469355,0,0,0.757993,7.68553
162,0.469355,0,0,0.757993,7.63369
163,0.469355,0,0,0.757993,7.13213
164,0.469355,0,0,0.757993,7.13686
165,0.469355,0,0,0.757993,7.18028
166,0.469355,0,0,0.757993,7.11582
167,0.469355,0,0,0.757993,7.13352
168,0.469355,0,0,0.757993,7.2792
169,0.469355,0,0,0.757993,7.03822
170,0.469355,0,0,0.757993,7.17002
171,0.469355,0,0,0.757993,7.20184
172,0.469355,0,0,0.757993,7.03333
173,0.469355,0,0,0.757993,7.52255
174,0.469355,0,0,0.757993,7.24889
175,0.469355,0,0,0.757993,7.14241
176,0.469355,0,0,0.757993,7.25535
177,0.469355,0,0,0.757993,7.67115
178,0.469355,0,0,0.757993,7.12801
179,0.469355,0,0,0.757993,7.08793
180,0.469355,0,0,0.757993,7.79894
181,0.469355,0,0,0.757993,7.42319
182,0.469355,0,0,0.757993,7.16793
183,0.469355,0,0,0.757993,7.00076
184,0.469355,0,0,0.757993,7.45296
185,0.469355,0,0,0.757993,7.20106
186,0.469355,0,0,0.757993,7.35867
187,0.757993,1,0,0.757993,6.95864
188,0.469355,0,0,0.757993,7.17583
189,0.469355,0,0,0.757993,7.38964
190,0.469355,0,0,0.757993,7.01013
191,0.469355,0,0,0.757993,7.23216
192,0.469355,0,0,0.757993,7.04676
193,0.469355,0,0,0.757993,7.53252
194,0.469355,0,0,0.757993,7.04839
195,0.469355,0,0,0.757993,7.08416
196,0.469355,0,0,0.757993,7.37608
197,0.469355,0,0,0.757993,7.12648
198,0.469355,0,0,0.757993,7.39697
199,0.469355,0,0,0.757993,7.30441
200,0.469355,0,0,0.757993,7.34082
201,0.469355,0,0,0.757993,7.05857
202,0.469355,0,0,0.757993,7.43544
203,0.469355,0,0,0.757993,7.27107
204,0.469355,0,0,0.757993,6.95968
205,0.469355,0,0,0.757993,7.44699
206,0.469355,0,0,0.757993,7.14598
207,0.469355,0,0,0.757993,7.1187
208,0.469355,0,0,0.757993,7.14969
209,0.469355,0,0,0.757993,8.15808
210,0.469355,0,0,0.757993,7.40497
211,0.469355,0,0,0.757993,7.00173
212,0.469355,0,0,0.757993,7.39007
213,0.469355,0,0,0.757993,6.89793
214,0.469355,0,0,0.757993,7.5204
215,0.469355,0,0,0.757993,7.1623
216,0.469355,0,0,0.757993,7.56854
217,0.469355,0,0,0.757993,7.06175
218,0.469355,0,0,0.757993,7.24443
219,0.469355,0,0,0.757993,7.2482
220,0.469355,0,0,0.757993,7.02336
221,0.469355,0,0,0.757993,7.27354
222,0.469355,0,0,0.757993,7.03431
223,0.469355,0,0,0.757993,7.48168
224,0.469355,0,0,0.757993,7.06759
225,0.469355,0,0,0.757993,8.10358
226,0.757993,1,0,0.757993,7.03757
227,0.469355,0,0,0.757993,7.32169
228,0.469355,0,0,0.757993,7.22263
229,0.469355,0,0,0.757993,7.27241
230,0.757993,1,0,0.757993,7.19355
231,0.469355,0,0,0.757993,7.20685
232,0.469355,0,0,0.757993,7.18651
233,0.469355,0,0,0.757993,7.10391
234,0.469355,0,0,0.757993,7.19033
235,0.469355,0,0,0.757993,7.29912
236,0.469355,0,0,0.757993,7.12343
237,0.469355,0,0,0.757993,7.03882
238,0.469355,0,0,0.757993,7.28452
239,0.469355,0,0,0.757993,7.22445
240,0.469355,0,0,0.757993,7.13619
241,0.469355,0,0,0.757993,7.0773
242,0.469355,0,0,0.757993,7.54026
243,0.469355,0,0,0.757993,6.98211
244,0.469355,0,0,0.757993,7.67201
245,0.469355,0,0,0.757993,7.28629
246,0.469355,0,0,0.757993,7.2199
247,0.469355,0,0,0.757993,7.34417
248,0.469355,0,0,0.757993,7.39149
249,0.469355,0,0,0.757993,6.97715
250,0.469355,0,0,0.757993,7.07576
251,0.469355,0,0,0.757993,7.55803
252,0.469355,0,0,0.757993,7.12497
253,0.469355,0,0,0.757993,7.40488
254,0.469355,0,0,0.757993,7.17371
255,0.469355,0,0,0.757993,7.26046
256,0.469355,0,0,0.757993,7.09503
257,0.469355,0,0,0.757993,7.16807
258,0.469355,0,0,0.757993,7.37108
259,0.469355,0,0,0.757993,7.09829
260,0.469355,0,0,0.757993,7.17903
261,0.469355,0,0,0.757993,6.94024
262,0.469355,0,0,0.757993,7.5319
263,0.469355,0,0,0.757993,7.32541
264,0.469355,0,0,0.757993,7.43015
265,0.469355,0,0,0.757993,7.08519
266,0.469355,0,0,0.757993,7.2706
267,0.469355,0,0,0.757993,7.00016
268,0.469355,0,0,0.757993,7.12116
269,0.469355,0,0,0.757993,7.41756
270,0.469355,0,0,0.757993,7.01787
271,0.469355,0,0,0.757993,7.53797
272,0.469355,0,0,0.757993,7.0244
273,0.469355,0,0,0.757993,6.96214
274,0.469355,0,0,0.757993,7.50587
275,0.469355,0,0,0.757993,7.08142
276,0.469355,0,0,0.757993,7.27764
277,0.469355,0,0,0.757993,7.2067
278,0.469355,0,0,0.757993,7.03547
279,0.469355,0,0,0.757993,7.0569
280,0.469355,0,0,0.757993,7.18216
281,0.469355,0,0,0.757993,7.38887
282,0.469355,0,0,0.757993,7.13057
283,0.469355,0,0,0.757993,7.40962
284,0.469355,0,0,0.757993,7.11585
285,0.469355,0,0,0.757993,7.39506
286,0.469355,0,0,0.757993,7.19616
287,0.469355,0,0,0.757993,7.31868
288,0.469355,0,0,0.757993,7.10209
289,0.469355,0,0,0.757993,7.24786
290,0.469355,0,0,0.757993,7.98198
291,0.469355,0,0,0.757993,7.019
292,0.469355,0,0,0.757993,7.38131
293,0.469355,0,0,0.757993,7.01638
294,0.469355,0,0,0.757993,7.30504
295,0.469355,0,0,0.757993,7.0427
296,0.469355,0,0,0.757993,7.13625
297,0.469355,0,0,0.757993,7.03666
298,0.469355,0,0,0.757993,7.155
299,0.469355,0,0,0.757993,7.33514
300,0.469355,0,0,0.757993,6.99366
301,0.469355,0,0,0.757993,7.38045
302,0.469355,0,0,0.757993,7.08233
303,0.469355,0,0,0.757993,7.28332
304,0.469355,0,0,0.757993,7.10929
305,0.469355,0,0,0.757993,7.21371
306,0.469355,0,0,0.757993,8.34637
307,0.469355,0,0,0.757993,7.21541
308,0.469355,0,0,0.757993,7.40323
309,0.469355,0,0,0.757993,7.02886
310,0.469355,0,0,0.757993,7.30556
311,0.469355,0,0,0.757993,7.13796
312,0.469355,0,0,0.757993,7.19763
313,0.469355,0,0,0.757993,7.09632
314,0.469355,0,0,0.757993,7.09327
315,0.469355,0,0,0.757993,7.12904
316,0.469355,0,0,0.757993,7.24471
317,0.469355,0,0,0.757993,7.48139
318,0.469355,0,0,0.757993,7.18653
319,0.469355,0,0,0.757993,7.13788
320,0.469355,0,0,0.757993,7.08785
321,0.469355,0,0,0.757993,7.29741
322,0.469355,0,0,0.757993,7.43139
323,0.469355,0,0,0.757993,7.20639
324,0.469355,0,0,0.757993,7.09956
325,0.469355,0,0,0.757993,7.20635
326,0.469355,0,0,0.757993,7.21034
327,0.469355,0,0,0.757993,7.28587
328,0.469355,0,0,0.757993,7.18479
329,0.469355,0,0,0.757993,7.34308
330,0.469355,0,0,0.757993,6.97807
331,0.469355,0,0,0.757993,7.14021
332,0.469355,0,0,0.757993,7.133
333,0.469355,0,0,0.757993,7.55045
334,0.469355,0,0,0.757993,7.30516
335,0.469355,0,0,0.757993,7.40103
336,0.469355,0,0,0.757993,7.14362
337,0.469355,0,0,0.757993,7.81311
338,0.469355,0,0,0.757993,7.10358
339,0.469355,0,0,0.757993,6.91639
340,0.469355,0,0,0.757993,7.72203
341,0.469355,0,0,0.757993,7.20605
342,0.469355,0,0,0.757993,7.72257
343,0.469355,0,0,0.757993,7.27701
344,0.469355,0,0,0.757993,7.56202
345,0.469355,0,0,0.757993,6.87118
346,0.469355,0,0,0.757993,7.48222
347,0.469355,0,0,0.757993,7.24793
348,0.469355,0,0,0.757993,7.21656
349,0.469355,0,0,0.757993,7.58688
350,0.469355,0,0,0.757993,7.14414
351,0.469355,0,0,0.757993,7.17016
352,0.469355,0,0,0.757993,7.02447
353,0.469355,0,0,0.757993,7.32124
354,0.469355,0,0,0.757993,7.04327
355,0.469355,0,0,0.757993,7.27506
356,0.469355,0,0,0.757993,6.89227
357,0.469355,0,0,0.757993,6.98951
358,0.469355,0,0,0.757993,7.44966
359,0.469355,0,0,0.757993,7.24058
360,0.469355,0,0,0.757993,7.07404
361,0.469355,0,0,0.757993,7.06088
362,0.469355,0,0,0.757993,7.35426
363,0.469355,0,0,0.757993,6.97842
364,0.469355,0,0,0.757993,7.22363
365,0.469355,0,0,0.757993,7.39308
366,0.469355,0,0,0.757993,7.03441
367,0.469355,0,0,0.757993,7.08588
368,0.469355,0,0,0.757993,7.09548
369,0.469355,0,0,0.757993,7.28286
370,0.469355,0,0,0.757993,7.08584
371,0.469355,0,0,0.757993,7.0813
372,0.469355,0,0,0.757993,7.18115
373,0.469355,0,0,0.757993,7.15864
374,0.469355,0,0,0.757993,7.33096
375,0.469355,0,0,0.757993,7.20582
376,0.469355,0,0,0.757993,7.52061
377,0.469355,0,0,0.757993,7.20122
378,0.469355,0,0,0.757993,7.11301
379,0.469355,0,0,0.757993,7.08966
380,0.469355,0,0,0.757993,6.99189
381,0.469355,0,0,0.757993,7.33758
382,0.469355,0,0,0.757993,7.17282
383,0.469355,0,0,0.757993,7.37494
384,0.469355,0,0,0.757993,7.14196
385,0.469355,0,0,0.757993,7.60531
386,0.469355,0,0,0.757993,7.0316
387,0.757993,1,0,0.757993,7.20161
388,0.469355,0,0,0.757993,7.32081
389,0.469355,0,0,0.757993,6.94549
390,0.469355,0,0,0.757993,7.58226
391,0.469355,0,0,0.757993,7.03419
392,0.469355,0,0,0.757993,7.63973
393,0.469355,0,0,0.757993,7.95459
394,0.469355,0,0,0.757993,7.30858
395,0.469355,0,0,0.757993,7.1412
396,0.469355,0,0,0.757993,7.11897
397,0.469355,0,0,0.757993,7.22641
398,0.469355,0,0,0.757993,6.97866
399,0.469355,0,0,0.757993,7.30901
400,0.469355,0,0,0.757993,7.14502
401,0.469355,0,0,0.757993,8.12616
402,0.469355,0,0,0.757993,7.17336
403,0.469355,0,0,0.757993,7.34538
404,0.469355,0,0,0.757993,7.06475
405,0.469355,0,0,0.757993,7.21569
406,0.469355,0,0,0.757993,7.4203
407,0.469355,0,0,0.757993,7.08891
408,0.469355,0,0,0.757993,7.78356
409,0.469355,0,0,0.757993,7.37816
410,0.469355,0,0,0.757993,7.62607
411,0.469355,0,0,0.757993,7.77201
412,0.469355,0,0,0.757993,7.33732
413,0.469355,0,0,0.757993,7.28782
414,0.469355,0,0,0.757993,7.03662
415,0.469355,0,0,0.757993,7.24718
416,0.469355,0,0,0.757993,6.9812
417,0.469355,0,0,0.757993,7.63224
418,0.469355,0,0,0.757993,7.28177
419,0.469355,0,0,0.757993,7.70866
420,0.469355,0,0,0.757993,7.07476
421,0.469355,0,0,0.757993,7.55507
422,0.469355,0,0,0.757993,7.10262
423,0.469355,0,0,0.757993,7.1763
424,0.469355,0,0,0.757993,7.34882
425,0.469355,0,0,0.757993,7.13316
426,0.469355,0,0,0.757993,8.04067
427,0.469355,0,0,0.757993,7.17522
428,0.469355,0,0,0.757993,7.21369
429,0.469355,0,0,0.757993,7.23325
430,0.469355,0,0,0.757993,7.21633
